,,,NumberofStudents,NumberofStudents,NumberofStudents
,,,min,max,mean
District,SchoolType,BirthYear,,,
Hrubieszów,Liceum ogólnokształcące,2002,10,10,10.0
Hrubieszów,Przedszkole,2012,1,29,12.714285714285714
Hrubieszów,Przedszkole,2013,1,27,11.857142857142858
Hrubieszów,Przedszkole,2014,1,27,11.857142857142858
Hrubieszów,Przedszkole,2015,1,27,11.857142857142858
Hrubieszów,Szkoła podstawowa,2006,1,61,15.76923076923077
Hrubieszów,Szkoła podstawowa,2007,1,67,17.0
Hrubieszów,Szkoła podstawowa,2008,1,67,17.0
Hrubieszów,Szkoła podstawowa,2009,1,61,15.153846153846153
Hrubieszów,Szkoła podstawowa,2010,1,61,15.153846153846153
Hrubieszów,Szkoła podstawowa,2011,1,61,14.692307692307692
Hrubieszów,Szkoła policealna,1994,4,4,4.0
Hrubieszów,Szkoła policealna,1995,4,4,4.0
Hrubieszów,Szkoła policealna,1996,4,4,4.0
Hrubieszów,Szkoła policealna,1997,3,3,3.0
Hrubieszów,Szkoła policealna,1998,3,3,3.0
Hrubieszów,Szkoła policealna,1999,4,4,4.0
Huszlew,Przedszkole,2012,2,2,2.0
Huszlew,Przedszkole,2013,2,2,2.0
Huszlew,Przedszkole,2014,2,2,2.0
Huszlew,Przedszkole,2015,2,2,2.0
Huszlew,Szkoła podstawowa,2006,13,13,13.0
Huszlew,Szkoła podstawowa,2007,11,11,11.0
Huszlew,Szkoła podstawowa,2008,11,11,11.0
Huszlew,Szkoła podstawowa,2009,11,11,11.0
Huszlew,Szkoła podstawowa,2010,9,9,9.0
Huszlew,Szkoła podstawowa,2011,8,8,8.0
Hyżne,Gimnazjum,2003,24,24,24.0
Hyżne,Gimnazjum,2004,26,26,26.0
Hyżne,Gimnazjum,2005,29,29,29.0
Hyżne,Szkoła podstawowa,2006,8,48,19.0
Hyżne,Szkoła podstawowa,2007,8,51,20.166666666666668
Hyżne,Szkoła podstawowa,2008,8,51,20.166666666666668
Hyżne,Szkoła podstawowa,2009,8,51,20.166666666666668
Hyżne,Szkoła podstawowa,2010,9,54,21.5
Hyżne,Szkoła podstawowa,2011,7,45,17.666666666666668
Igołomia-Wawrzeńczyce,Szkoła podstawowa,2006,10,13,11.5
Igołomia-Wawrzeńczyce,Szkoła podstawowa,2007,12,15,13.5
Igołomia-Wawrzeńczyce,Szkoła podstawowa,2008,12,15,13.5
Igołomia-Wawrzeńczyce,Szkoła podstawowa,2009,12,15,13.5
Igołomia-Wawrzeńczyce,Szkoła podstawowa,2010,12,15,13.5
Igołomia-Wawrzeńczyce,Szkoła podstawowa,2011,11,14,12.5
Imielin,Przedszkole,2012,98,98,98.0
Imielin,Przedszkole,2013,94,94,94.0
Imielin,Przedszkole,2014,90,90,90.0
Imielin,Przedszkole,2015,98,98,98.0
Imielin,Szkoła podstawowa,2006,61,84,72.5
Imielin,Szkoła podstawowa,2007,73,99,86.0
Imielin,Szkoła podstawowa,2008,77,105,91.0
Imielin,Szkoła podstawowa,2009,61,84,72.5
Imielin,Szkoła podstawowa,2010,57,78,67.5
Imielin,Szkoła podstawowa,2011,57,78,67.5
Imielno,Szkoła podstawowa,2006,20,20,20.0
Imielno,Szkoła podstawowa,2007,24,24,24.0
Imielno,Szkoła podstawowa,2008,22,23,22.666666666666668
Imielno,Szkoła podstawowa,2009,21,22,21.333333333333332
Imielno,Szkoła podstawowa,2010,24,24,24.0
Imielno,Szkoła podstawowa,2011,22,23,22.666666666666668
Inowrocław,Liceum ogólnokształcące,2000,20,141,75.28571428571429
Inowrocław,Liceum ogólnokształcące,2001,19,136,72.42857142857143
Inowrocław,Liceum ogólnokształcące,2002,20,141,75.28571428571429
Inowrocław,Przedszkole,2012,2,120,27.0
Inowrocław,Przedszkole,2013,2,125,28.058823529411764
Inowrocław,Przedszkole,2014,2,125,28.058823529411764
Inowrocław,Przedszkole,2015,2,125,28.176470588235293
Inowrocław,Szkoła podstawowa,2006,3,117,40.19047619047619
Inowrocław,Szkoła podstawowa,2007,3,126,43.19047619047619
Inowrocław,Szkoła podstawowa,2008,3,117,40.19047619047619
Inowrocław,Szkoła podstawowa,2009,2,117,39.80952380952381
Inowrocław,Szkoła podstawowa,2010,3,117,40.19047619047619
Inowrocław,Szkoła podstawowa,2011,3,109,37.38095238095238
Inowrocław,Szkoła policealna,1994,4,46,15.285714285714286
Inowrocław,Szkoła policealna,1995,4,43,14.428571428571429
Inowrocław,Szkoła policealna,1996,4,37,12.428571428571429
Inowrocław,Szkoła policealna,1997,4,37,12.428571428571429
Inowrocław,Szkoła policealna,1998,4,37,12.428571428571429
Inowrocław,Szkoła policealna,1999,4,37,12.428571428571429
Inowłódz,Gimnazjum,2003,9,9,9.0
Inowłódz,Gimnazjum,2004,9,9,9.0
Inowłódz,Gimnazjum,2005,9,9,9.0
Inowłódz,Liceum ogólnokształcące,2000,19,19,19.0
Inowłódz,Liceum ogólnokształcące,2001,21,21,21.0
Inowłódz,Liceum ogólnokształcące,2002,20,20,20.0
Inowłódz,Przedszkole,2012,8,8,8.0
Inowłódz,Przedszkole,2013,7,7,7.0
Inowłódz,Przedszkole,2014,6,6,6.0
Inowłódz,Przedszkole,2015,6,6,6.0
Inowłódz,Szkoła podstawowa,2006,14,19,17.0
Inowłódz,Szkoła podstawowa,2007,17,23,20.666666666666668
Inowłódz,Szkoła podstawowa,2008,14,19,17.0
Inowłódz,Szkoła podstawowa,2009,12,17,15.0
Inowłódz,Szkoła podstawowa,2010,10,13,12.0
Inowłódz,Szkoła podstawowa,2011,10,13,12.0
Irządze,Szkoła podstawowa,2006,51,51,51.0
Irządze,Szkoła podstawowa,2007,46,46,46.0
Irządze,Szkoła podstawowa,2008,40,40,40.0
Irządze,Szkoła podstawowa,2009,40,40,40.0
Irządze,Szkoła podstawowa,2010,46,46,46.0
Irządze,Szkoła podstawowa,2011,46,46,46.0
Istebna,Przedszkole,2012,12,22,14.75
Istebna,Przedszkole,2013,11,19,13.25
Istebna,Przedszkole,2014,12,20,14.0
Istebna,Przedszkole,2015,11,19,13.25
Istebna,Szkoła podstawowa,2006,12,57,31.2
Istebna,Szkoła podstawowa,2007,12,57,31.2
Istebna,Szkoła podstawowa,2008,12,57,31.2
Istebna,Szkoła podstawowa,2009,12,54,29.6
Istebna,Szkoła podstawowa,2010,12,54,29.6
Istebna,Szkoła podstawowa,2011,12,57,31.2
Iwaniska,Szkoła podstawowa,2006,7,64,24.0
Iwaniska,Szkoła podstawowa,2007,8,72,26.8
Iwaniska,Szkoła podstawowa,2008,8,72,26.8
Iwaniska,Szkoła podstawowa,2009,9,77,28.8
Iwaniska,Szkoła podstawowa,2010,8,72,26.8
Iwaniska,Szkoła podstawowa,2011,8,72,26.8
Iwanowice,Gimnazjum,2003,4,4,4.0
Iwanowice,Gimnazjum,2004,5,5,5.0
Iwanowice,Gimnazjum,2005,5,5,5.0
Iwanowice,Przedszkole,2012,11,37,24.0
Iwanowice,Przedszkole,2013,11,37,24.0
Iwanowice,Przedszkole,2014,11,36,23.5
Iwanowice,Przedszkole,2015,10,33,21.5
Iwanowice,Szkoła podstawowa,2006,21,36,27.714285714285715
Iwanowice,Szkoła podstawowa,2007,22,38,29.0
Iwanowice,Szkoła podstawowa,2008,20,34,26.142857142857142
Iwanowice,Szkoła podstawowa,2009,19,32,24.571428571428573
Iwanowice,Szkoła podstawowa,2010,19,32,24.571428571428573
Iwanowice,Szkoła podstawowa,2011,16,28,21.428571428571427
Iwierzyce,Gimnazjum,2003,24,24,24.0
Iwierzyce,Gimnazjum,2004,23,23,23.0
Iwierzyce,Gimnazjum,2005,24,24,24.0
Iwierzyce,Szkoła podstawowa,2006,20,30,24.0
Iwierzyce,Szkoła podstawowa,2007,20,30,24.0
Iwierzyce,Szkoła podstawowa,2008,20,30,24.0
Iwierzyce,Szkoła podstawowa,2009,19,28,22.5
Iwierzyce,Szkoła podstawowa,2010,20,30,24.0
Iwierzyce,Szkoła podstawowa,2011,19,28,22.5
Iwkowa,Przedszkole,2012,5,13,9.666666666666666
Iwkowa,Przedszkole,2013,5,13,9.666666666666666
Iwkowa,Przedszkole,2014,6,16,11.666666666666666
Iwkowa,Przedszkole,2015,7,17,12.666666666666666
Iwkowa,Szkoła podstawowa,2006,12,49,28.0
Iwkowa,Szkoła podstawowa,2007,11,46,26.2
Iwkowa,Szkoła podstawowa,2008,11,46,26.2
Iwkowa,Szkoła podstawowa,2009,11,46,26.2
Iwkowa,Szkoła podstawowa,2010,12,49,28.0
Iwkowa,Szkoła podstawowa,2011,12,49,28.0
Iwonicz-Zdrój,Przedszkole,2012,4,33,17.333333333333332
Iwonicz-Zdrój,Przedszkole,2013,3,29,15.0
Iwonicz-Zdrój,Przedszkole,2014,3,25,13.0
Iwonicz-Zdrój,Przedszkole,2015,3,26,13.333333333333334
Iwonicz-Zdrój,Szkoła podstawowa,2006,26,72,47.25
Iwonicz-Zdrój,Szkoła podstawowa,2007,24,68,44.5
Iwonicz-Zdrój,Szkoła podstawowa,2008,23,64,42.0
Iwonicz-Zdrój,Szkoła podstawowa,2009,24,68,44.5
Iwonicz-Zdrój,Szkoła podstawowa,2010,23,64,42.0
Iwonicz-Zdrój,Szkoła podstawowa,2011,23,64,42.0
Izabelin,Przedszkole,2012,2,57,29.25
Izabelin,Przedszkole,2013,2,53,27.25
Izabelin,Przedszkole,2014,2,48,24.75
Izabelin,Przedszkole,2015,2,51,26.0
Izabelin,Szkoła podstawowa,2006,186,186,186.0
Izabelin,Szkoła podstawowa,2007,176,176,176.0
Izabelin,Szkoła podstawowa,2008,176,176,176.0
Izabelin,Szkoła podstawowa,2009,156,156,156.0
Izabelin,Szkoła podstawowa,2010,146,146,146.0
Izabelin,Szkoła podstawowa,2011,137,137,137.0
Izbica,Przedszkole,2012,45,45,45.0
Izbica,Przedszkole,2013,45,45,45.0
Izbica,Przedszkole,2014,50,50,50.0
Izbica,Przedszkole,2015,47,47,47.0
Izbica,Szkoła podstawowa,2006,7,38,18.0
Izbica,Szkoła podstawowa,2007,7,38,18.0
Izbica,Szkoła podstawowa,2008,7,36,17.0
Izbica,Szkoła podstawowa,2009,7,38,18.0
Izbica,Szkoła podstawowa,2010,7,38,18.0
Izbica,Szkoła podstawowa,2011,7,36,17.0
Izbica,Szkoła policealna,1994,1,3,2.0
Izbica,Szkoła policealna,1995,1,3,2.0
Izbica,Szkoła policealna,1996,1,3,2.0
Izbica,Szkoła policealna,1997,1,3,2.0
Izbica,Szkoła policealna,1998,1,3,2.0
Izbica,Szkoła policealna,1999,1,2,1.5
Izbica Kujawska,Przedszkole,2012,18,18,18.0
Izbica Kujawska,Przedszkole,2013,16,16,16.0
Izbica Kujawska,Przedszkole,2014,15,15,15.0
Izbica Kujawska,Przedszkole,2015,14,14,14.0
Izbica Kujawska,Szkoła podstawowa,2006,26,75,45.333333333333336
Izbica Kujawska,Szkoła podstawowa,2007,24,71,42.666666666666664
Izbica Kujawska,Szkoła podstawowa,2008,23,67,40.333333333333336
Izbica Kujawska,Szkoła podstawowa,2009,24,71,42.666666666666664
Izbica Kujawska,Szkoła podstawowa,2010,23,67,40.333333333333336
Izbica Kujawska,Szkoła podstawowa,2011,23,67,40.333333333333336
Iława,Gimnazjum,2003,5,5,5.0
Iława,Gimnazjum,2004,6,6,6.0
Iława,Gimnazjum,2005,6,6,6.0
Iława,Liceum ogólnokształcące,2000,3,31,16.333333333333332
Iława,Liceum ogólnokształcące,2001,3,29,15.333333333333334
Iława,Liceum ogólnokształcące,2002,3,30,15.666666666666666
Iława,Przedszkole,2012,1,42,20.416666666666668
Iława,Przedszkole,2013,1,42,20.416666666666668
Iława,Przedszkole,2014,1,40,19.333333333333332
Iława,Przedszkole,2015,1,45,21.5
Iława,Szkoła podstawowa,2006,2,82,33.833333333333336
Iława,Szkoła podstawowa,2007,2,90,36.583333333333336
Iława,Szkoła podstawowa,2008,2,90,35.583333333333336
Iława,Szkoła podstawowa,2009,2,82,32.833333333333336
Iława,Szkoła podstawowa,2010,2,82,32.833333333333336
Iława,Szkoła podstawowa,2011,1,75,30.333333333333332
Iława,Szkoła policealna,1994,2,11,6.5
Iława,Szkoła policealna,1995,2,10,6.0
Iława,Szkoła policealna,1996,1,9,5.0
Iława,Szkoła policealna,1997,1,9,5.0
Iława,Szkoła policealna,1998,1,9,5.0
Iława,Szkoła policealna,1999,2,10,6.0
Iłowa,Przedszkole,2012,37,37,37.0
Iłowa,Przedszkole,2013,40,40,40.0
Iłowa,Przedszkole,2014,40,40,40.0
Iłowa,Przedszkole,2015,37,37,37.0
Iłowa,Szkoła podstawowa,2006,12,93,52.5
Iłowa,Szkoła podstawowa,2007,12,98,55.0
Iłowa,Szkoła podstawowa,2008,11,88,49.5
Iłowa,Szkoła podstawowa,2009,10,83,46.5
Iłowa,Szkoła podstawowa,2010,10,77,43.5
Iłowa,Szkoła podstawowa,2011,9,72,40.5
Iłowo-Osada,Szkoła podstawowa,2006,10,10,10.0
Iłowo-Osada,Szkoła podstawowa,2007,10,10,10.0
Iłowo-Osada,Szkoła podstawowa,2008,10,10,10.0
Iłowo-Osada,Szkoła podstawowa,2009,10,10,10.0
Iłowo-Osada,Szkoła podstawowa,2010,10,10,10.0
Iłowo-Osada,Szkoła podstawowa,2011,9,9,9.0
Iłów,Przedszkole,2012,13,13,13.0
Iłów,Przedszkole,2013,12,12,12.0
Iłów,Przedszkole,2014,12,12,12.0
Iłów,Przedszkole,2015,12,12,12.0
Iłów,Szkoła podstawowa,2006,10,60,30.25
Iłów,Szkoła podstawowa,2007,11,64,32.25
Iłów,Szkoła podstawowa,2008,11,68,34.25
Iłów,Szkoła podstawowa,2009,10,60,30.25
Iłów,Szkoła podstawowa,2010,8,46,23.25
Iłów,Szkoła podstawowa,2011,9,53,26.75
Iłża,Liceum ogólnokształcące,2000,75,75,75.0
Iłża,Liceum ogólnokształcące,2001,67,67,67.0
Iłża,Liceum ogólnokształcące,2002,67,67,67.0
Iłża,Przedszkole,2012,10,73,41.5
Iłża,Przedszkole,2013,10,68,39.0
Iłża,Przedszkole,2014,9,65,37.0
Iłża,Przedszkole,2015,9,65,37.0
Iłża,Szkoła podstawowa,2006,2,121,26.625
Iłża,Szkoła podstawowa,2007,2,129,28.5
Iłża,Szkoła podstawowa,2008,2,129,28.5
Iłża,Szkoła podstawowa,2009,2,129,28.5
Iłża,Szkoła podstawowa,2010,2,129,28.5
Iłża,Szkoła podstawowa,2011,2,121,26.625
Jabłonka,Przedszkole,2012,7,72,31.0
Jabłonka,Przedszkole,2013,6,69,29.333333333333332
Jabłonka,Przedszkole,2014,6,69,29.333333333333332
Jabłonka,Przedszkole,2015,7,78,33.333333333333336
Jabłonka,Szkoła podstawowa,2006,4,99,30.142857142857142
Jabłonka,Szkoła podstawowa,2007,4,104,31.785714285714285
Jabłonka,Szkoła podstawowa,2008,4,99,30.142857142857142
Jabłonka,Szkoła podstawowa,2009,3,88,26.642857142857142
Jabłonka,Szkoła podstawowa,2010,3,82,24.857142857142858
Jabłonka,Szkoła podstawowa,2011,3,82,24.857142857142858
Jabłonna,Liceum ogólnokształcące,2000,2,2,2.0
Jabłonna,Liceum ogólnokształcące,2001,3,3,3.0
Jabłonna,Liceum ogólnokształcące,2002,3,3,3.0
Jabłonna,Przedszkole,2012,2,46,15.0
Jabłonna,Przedszkole,2013,2,46,15.0
Jabłonna,Przedszkole,2014,2,46,15.0
Jabłonna,Przedszkole,2015,2,43,14.1
Jabłonna,Szkoła podstawowa,2006,2,144,47.0
Jabłonna,Szkoła podstawowa,2007,2,144,47.0
Jabłonna,Szkoła podstawowa,2008,2,144,47.0
Jabłonna,Szkoła podstawowa,2009,2,134,43.857142857142854
Jabłonna,Szkoła podstawowa,2010,2,123,40.57142857142857
Jabłonna,Szkoła podstawowa,2011,2,113,36.857142857142854
Jabłonna Lacka,Przedszkole,2012,3,21,12.0
Jabłonna Lacka,Przedszkole,2013,3,23,13.0
Jabłonna Lacka,Przedszkole,2014,3,26,14.5
Jabłonna Lacka,Przedszkole,2015,3,23,13.0
Jabłonna Lacka,Szkoła podstawowa,2006,4,34,16.0
Jabłonna Lacka,Szkoła podstawowa,2007,4,36,16.666666666666668
Jabłonna Lacka,Szkoła podstawowa,2008,3,32,14.666666666666666
Jabłonna Lacka,Szkoła podstawowa,2009,4,36,16.666666666666668
Jabłonna Lacka,Szkoła podstawowa,2010,4,38,17.666666666666668
Jabłonna Lacka,Szkoła podstawowa,2011,4,36,16.666666666666668
Jabłonowo Pomorskie,Przedszkole,2012,4,41,22.5
Jabłonowo Pomorskie,Przedszkole,2013,4,42,23.0
Jabłonowo Pomorskie,Przedszkole,2014,4,41,22.5
Jabłonowo Pomorskie,Przedszkole,2015,4,41,22.5
Jabłonowo Pomorskie,Szkoła podstawowa,2006,10,88,41.333333333333336
Jabłonowo Pomorskie,Szkoła podstawowa,2007,12,105,49.333333333333336
Jabłonowo Pomorskie,Szkoła podstawowa,2008,12,105,49.333333333333336
Jabłonowo Pomorskie,Szkoła podstawowa,2009,12,99,47.0
Jabłonowo Pomorskie,Szkoła podstawowa,2010,12,105,49.333333333333336
Jabłonowo Pomorskie,Szkoła podstawowa,2011,11,94,44.333333333333336
Jabłoń,Szkoła podstawowa,2006,6,30,13.8
Jabłoń,Szkoła podstawowa,2007,6,30,13.8
Jabłoń,Szkoła podstawowa,2008,6,32,14.4
Jabłoń,Szkoła podstawowa,2009,6,32,14.4
Jabłoń,Szkoła podstawowa,2010,5,28,12.8
Jabłoń,Szkoła podstawowa,2011,5,25,11.4
Jadów,Liceum ogólnokształcące,2000,32,32,32.0
Jadów,Liceum ogólnokształcące,2001,27,27,27.0
Jadów,Liceum ogólnokształcące,2002,26,26,26.0
Jadów,Przedszkole,2012,26,26,26.0
Jadów,Przedszkole,2013,26,26,26.0
Jadów,Przedszkole,2014,25,25,25.0
Jadów,Przedszkole,2015,23,23,23.0
Jadów,Szkoła podstawowa,2006,4,34,18.2
Jadów,Szkoła podstawowa,2007,4,32,17.2
Jadów,Szkoła podstawowa,2008,4,32,17.2
Jadów,Szkoła podstawowa,2009,5,36,19.4
Jadów,Szkoła podstawowa,2010,4,34,18.2
Jadów,Szkoła podstawowa,2011,4,34,18.2
Jaktorów,Przedszkole,2012,7,7,7.0
Jaktorów,Przedszkole,2013,7,7,7.0
Jaktorów,Przedszkole,2014,7,7,7.0
Jaktorów,Przedszkole,2015,7,7,7.0
Jakubów,Szkoła podstawowa,2006,14,79,34.0
Jakubów,Szkoła podstawowa,2007,14,79,34.0
Jakubów,Szkoła podstawowa,2008,14,79,34.0
Jakubów,Szkoła podstawowa,2009,13,74,31.75
Jakubów,Szkoła podstawowa,2010,12,70,30.0
Jakubów,Szkoła podstawowa,2011,10,61,26.0
Janikowo,Gimnazjum,2003,40,40,40.0
Janikowo,Gimnazjum,2004,40,40,40.0
Janikowo,Gimnazjum,2005,46,46,46.0
Janikowo,Liceum ogólnokształcące,2000,24,24,24.0
Janikowo,Liceum ogólnokształcące,2001,23,23,23.0
Janikowo,Liceum ogólnokształcące,2002,24,24,24.0
Janikowo,Przedszkole,2012,8,37,19.0
Janikowo,Przedszkole,2013,8,35,18.0
Janikowo,Przedszkole,2014,7,30,15.666666666666666
Janikowo,Przedszkole,2015,8,36,18.666666666666668
Janikowo,Szkoła podstawowa,2006,21,138,54.0
Janikowo,Szkoła podstawowa,2007,21,138,54.0
Janikowo,Szkoła podstawowa,2008,20,130,51.0
Janikowo,Szkoła podstawowa,2009,20,130,51.0
Janikowo,Szkoła podstawowa,2010,19,123,48.25
Janikowo,Szkoła podstawowa,2011,16,107,41.75
Janikowo,Szkoła policealna,1994,9,9,9.0
Janikowo,Szkoła policealna,1995,9,9,9.0
Janikowo,Szkoła policealna,1996,8,8,8.0
Janikowo,Szkoła policealna,1997,7,7,7.0
Janikowo,Szkoła policealna,1998,6,6,6.0
Janikowo,Szkoła policealna,1999,7,7,7.0
Janowice Wielkie,Przedszkole,2012,25,25,25.0
Janowice Wielkie,Przedszkole,2013,23,23,23.0
Janowice Wielkie,Przedszkole,2014,26,26,26.0
Janowice Wielkie,Przedszkole,2015,26,26,26.0
Janowice Wielkie,Szkoła podstawowa,2006,43,43,43.0
Janowice Wielkie,Szkoła podstawowa,2007,48,48,48.0
Janowice Wielkie,Szkoła podstawowa,2008,41,41,41.0
Janowice Wielkie,Szkoła podstawowa,2009,33,33,33.0
Janowice Wielkie,Szkoła podstawowa,2010,43,43,43.0
Janowice Wielkie,Szkoła podstawowa,2011,43,43,43.0
Janowiec Kościelny,Szkoła podstawowa,2006,25,54,39.5
Janowiec Kościelny,Szkoła podstawowa,2007,22,49,35.5
Janowiec Kościelny,Szkoła podstawowa,2008,19,41,30.0
Janowiec Kościelny,Szkoła podstawowa,2009,15,33,24.0
Janowiec Kościelny,Szkoła podstawowa,2010,18,38,28.0
Janowiec Kościelny,Szkoła podstawowa,2011,19,41,30.0
Janowiec Wielkopolski,Przedszkole,2012,53,53,53.0
Janowiec Wielkopolski,Przedszkole,2013,55,55,55.0
Janowiec Wielkopolski,Przedszkole,2014,47,47,47.0
Janowiec Wielkopolski,Przedszkole,2015,49,49,49.0
Janowiec Wielkopolski,Szkoła podstawowa,2006,10,109,34.0
Janowiec Wielkopolski,Szkoła podstawowa,2007,10,115,36.0
Janowiec Wielkopolski,Szkoła podstawowa,2008,10,109,34.0
Janowiec Wielkopolski,Szkoła podstawowa,2009,8,91,28.4
Janowiec Wielkopolski,Szkoła podstawowa,2010,7,85,26.4
Janowiec Wielkopolski,Szkoła podstawowa,2011,8,91,28.4
Janowo,Szkoła podstawowa,2006,29,31,30.0
Janowo,Szkoła podstawowa,2007,25,26,25.5
Janowo,Szkoła podstawowa,2008,18,19,18.5
Janowo,Szkoła podstawowa,2009,20,21,20.5
Janowo,Szkoła podstawowa,2010,22,23,22.5
Janowo,Szkoła podstawowa,2011,17,18,17.5
Janów,Liceum ogólnokształcące,2000,14,14,14.0
Janów,Liceum ogólnokształcące,2001,13,13,13.0
Janów,Liceum ogólnokształcące,2002,12,12,12.0
Janów,Przedszkole,2012,7,7,7.0
Janów,Przedszkole,2013,7,7,7.0
Janów,Przedszkole,2014,6,6,6.0
Janów,Przedszkole,2015,7,7,7.0
Janów,Szkoła podstawowa,2006,4,15,10.0
Janów,Szkoła podstawowa,2007,5,18,12.0
Janów,Szkoła podstawowa,2008,4,17,10.75
Janów,Szkoła podstawowa,2009,3,15,9.75
Janów,Szkoła podstawowa,2010,3,17,10.5
Janów,Szkoła podstawowa,2011,4,14,9.25
Janów Lubelski,Liceum ogólnokształcące,2000,129,129,129.0
Janów Lubelski,Liceum ogólnokształcące,2001,147,147,147.0
Janów Lubelski,Liceum ogólnokształcące,2002,155,155,155.0
Janów Lubelski,Przedszkole,2012,21,36,29.333333333333332
Janów Lubelski,Przedszkole,2013,20,33,27.0
Janów Lubelski,Przedszkole,2014,21,36,29.333333333333332
Janów Lubelski,Przedszkole,2015,22,37,30.333333333333332
Janów Lubelski,Szkoła podstawowa,2006,8,218,64.5
Janów Lubelski,Szkoła podstawowa,2007,9,244,72.0
Janów Lubelski,Szkoła podstawowa,2008,8,218,64.5
Janów Lubelski,Szkoła podstawowa,2009,7,193,56.75
Janów Lubelski,Szkoła podstawowa,2010,7,206,60.75
Janów Lubelski,Szkoła podstawowa,2011,7,193,56.75
Janów Lubelski,Szkoła policealna,1994,13,13,13.0
Janów Lubelski,Szkoła policealna,1995,12,12,12.0
Janów Lubelski,Szkoła policealna,1996,11,11,11.0
Janów Lubelski,Szkoła policealna,1997,10,10,10.0
Janów Lubelski,Szkoła policealna,1998,11,11,11.0
Janów Lubelski,Szkoła policealna,1999,11,11,11.0
Jaraczewo,Przedszkole,2012,7,26,15.0
Jaraczewo,Przedszkole,2013,6,24,13.666666666666666
Jaraczewo,Przedszkole,2014,6,24,13.666666666666666
Jaraczewo,Przedszkole,2015,7,26,15.0
Jaraczewo,Szkoła podstawowa,2006,19,44,30.0
Jaraczewo,Szkoła podstawowa,2007,18,42,28.5
Jaraczewo,Szkoła podstawowa,2008,17,39,26.75
Jaraczewo,Szkoła podstawowa,2009,18,42,28.5
Jaraczewo,Szkoła podstawowa,2010,17,39,26.75
Jaraczewo,Szkoła podstawowa,2011,17,39,26.75
Jarczów,Przedszkole,2012,11,11,11.0
Jarczów,Przedszkole,2013,10,10,10.0
Jarczów,Przedszkole,2014,10,10,10.0
Jarczów,Przedszkole,2015,11,11,11.0
Jarczów,Szkoła podstawowa,2006,5,31,13.666666666666666
Jarczów,Szkoła podstawowa,2007,5,31,13.666666666666666
Jarczów,Szkoła podstawowa,2008,4,24,10.666666666666666
Jarczów,Szkoła podstawowa,2009,3,21,9.0
Jarczów,Szkoła podstawowa,2010,3,21,9.0
Jarczów,Szkoła podstawowa,2011,4,24,10.666666666666666
Jarocin,Gimnazjum,2003,9,9,9.0
Jarocin,Gimnazjum,2004,10,10,10.0
Jarocin,Gimnazjum,2005,11,11,11.0
Jarocin,Liceum ogólnokształcące,2000,2,152,58.75
Jarocin,Liceum ogólnokształcące,2001,2,152,58.75
Jarocin,Liceum ogólnokształcące,2002,2,147,56.75
Jarocin,Przedszkole,2012,9,45,25.8
Jarocin,Przedszkole,2013,9,45,25.8
Jarocin,Przedszkole,2014,9,45,25.8
Jarocin,Przedszkole,2015,9,45,25.8
Jarocin,Szkoła podstawowa,2006,1,76,21.25
Jarocin,Szkoła podstawowa,2007,1,81,22.5
Jarocin,Szkoła podstawowa,2008,1,81,29.22222222222222
Jarocin,Szkoła podstawowa,2009,1,76,27.555555555555557
Jarocin,Szkoła podstawowa,2010,1,76,27.555555555555557
Jarocin,Szkoła podstawowa,2011,1,71,25.77777777777778
Jarocin,Szkoła policealna,1994,35,35,35.0
Jarocin,Szkoła policealna,1995,35,35,35.0
Jarocin,Szkoła policealna,1996,33,33,33.0
Jarocin,Szkoła policealna,1997,30,30,30.0
Jarocin,Szkoła policealna,1998,30,30,30.0
Jarocin,Szkoła policealna,1999,30,30,30.0
Jarosław,Gimnazjum,2003,2,5,3.5
Jarosław,Gimnazjum,2004,2,4,3.0
Jarosław,Gimnazjum,2005,2,5,3.5
Jarosław,Liceum ogólnokształcące,2000,4,156,42.2
Jarosław,Liceum ogólnokształcące,2001,4,150,40.6
Jarosław,Liceum ogólnokształcące,2002,3,138,37.2
Jarosław,Przedszkole,2012,1,28,14.266666666666667
Jarosław,Przedszkole,2013,1,28,14.266666666666667
Jarosław,Przedszkole,2014,1,27,13.6
Jarosław,Przedszkole,2015,1,28,14.266666666666667
Jarosław,Szkoła podstawowa,2006,4,75,28.5
Jarosław,Szkoła podstawowa,2007,4,75,28.5
Jarosław,Szkoła podstawowa,2008,4,75,28.11111111111111
Jarosław,Szkoła podstawowa,2009,4,69,25.88888888888889
Jarosław,Szkoła podstawowa,2010,4,69,25.88888888888889
Jarosław,Szkoła podstawowa,2011,4,69,25.88888888888889
Jarosław,Szkoła policealna,1994,1,27,9.2
Jarosław,Szkoła policealna,1995,1,30,10.2
Jarosław,Szkoła policealna,1996,1,27,9.2
Jarosław,Szkoła policealna,1997,1,27,9.2
Jarosław,Szkoła policealna,1998,1,27,9.2
Jarosław,Szkoła policealna,1999,1,30,10.2
Jasienica,Przedszkole,2012,5,32,12.5
Jasienica,Przedszkole,2013,5,34,13.25
Jasienica,Przedszkole,2014,5,34,13.25
Jasienica,Przedszkole,2015,5,34,13.25
Jasienica,Szkoła podstawowa,2006,42,42,42.0
Jasienica,Szkoła podstawowa,2007,47,47,47.0
Jasienica,Szkoła podstawowa,2008,44,44,44.0
Jasienica,Szkoła podstawowa,2009,39,39,39.0
Jasienica,Szkoła podstawowa,2010,37,37,37.0
