,,Students_per_Teachers,Students_per_Teachers,Students_per_Teachers
,,min,max,mean
Bartoszyce,Specjalny Ośrodek Szkolno-Wychowawczy,0.6025641025641025,0.6025641025641025,0.6025641025641025
Bartoszyce,Szkoła podstawowa,3.7333333333333334,11.541666666666666,7.482450057811937
Bartoszyce,Szkoła policealna,2.8333333333333335,2.8333333333333335,2.8333333333333335
Bartoszyce,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Baruchowo,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Barwice,Przedszkole,16.857142857142858,16.857142857142858,16.857142857142858
Barwice,Szkoła podstawowa,6.333333333333333,11.108695652173912,8.721014492753623
Barwice,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Batorz,Szkoła podstawowa,3.0,8.923076923076923,5.412955465587044
Baćkowice,Punkt przedszkolny,13.0,14.0,13.5
Baćkowice,Szkoła podstawowa,5.071428571428571,6.2,5.4904761904761905
Baćkowice,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bałtów,Szkoła podstawowa,5.222222222222222,8.0,6.611111111111111
Bedlno,Gimnazjum,3.4285714285714284,3.4285714285714284,3.4285714285714284
Bedlno,Punkt przedszkolny,12.5,20.0,16.25
Bedlno,Szkoła podstawowa,4.333333333333333,7.125,5.403470072239422
Bejsce,Gimnazjum,4.125,4.125,4.125
Bejsce,Punkt przedszkolny,12.5,15.0,13.75
Bejsce,Szkoła podstawowa,6.642857142857143,9.588235294117647,8.115546218487395
Belsk Duży,Gimnazjum,4.636363636363637,4.636363636363637,4.636363636363637
Belsk Duży,Przedszkole,4.166666666666667,6.666666666666667,5.416666666666667
Belsk Duży,Szkoła podstawowa,3.3846153846153846,9.645833333333334,5.497195512820513
Besko,Przedszkole,8.2,8.2,8.2
Besko,Szkoła podstawowa,9.345454545454546,9.345454545454546,9.345454545454546
Bestwina,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bełchatów,Bursa,0.0,0.0,0.0
Bełchatów,Centrum Kształcenia Praktycznego,0.0,0.0,0.0
