,,Students_per_Teachers,Students_per_Teachers,Students_per_Teachers
,,min,max,mean
M-Gm,Przedszkole,0.0,99.0,9.428329842806143
M-Gm,Punkt przedszkolny,0.0,36.0,9.657538813261707
M-Gm,Specjalny Ośrodek Szkolno-Wychowawczy,0.0,2.125,0.666709959648144
M-Gm,Specjalny Ośrodek Wychowawczy,1.0,7.333333333333333,3.6769696969696968
M-Gm,Sześcioletnia szkoła muzyczna I stopnia,1.0,33.0,6.521237047674281
M-Gm,Sześcioletnia szkoła muzyczna II stopnia,1.9375,3.0,2.46875
M-Gm,Szkolne schronisko młodzieżowe,0.0,0.0,0.0
M-Gm,Szkoła podstawowa,0.0,73.0,6.768476178323131
M-Gm,Szkoła policealna,0.0,151.0,11.402415131991026
M-Gm,Szkoła specjalna przysposabiająca do pracy,0.5,2.125,1.1934523809523812
M-Gm,Technikum,0.5,88.0,8.103097764973036
M-Gm,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
M-Gm,Zespół wychowania przedszkolnego,1.0,24.0,10.163461538461538
